full_name,short
Zoning Amendment,Amend
Use Permit Minor,MUP
Design Review,DR
Design Review Oversized Home,DR
Design Review Other,DR
Design Review Commercial,DR
General Plan Amendment,Amend
Design Review Antenna,DR
Design Review Residential,DR
Use Permit Conditional,CUP
Use Permit Administrative,AUP
ZCL,ZCL
Variance,Vari
Rezoning,ReZone
Tree Dripline Encroachment,Tree
Tree Removal Permit,Tree
,Other
Other,Other
Tentative Map Major Subdivision,Maj Sub
Drip Line Encroachment,Other
Tentative Map Minor Subdivision,Min Sub
Tentative Map Condo Conversion,Conv
Hillside Performance Standards,Other
